date_time,Aimadamodo_maxtempC,Aimadamodo_mintempC,Aimadamodo_totalSnow_cm,Aimadamodo_sunHour,Aimadamodo_uvIndex,Aimadamodo_uvIndex,Aimadamodo_moon_illumination,Aimadamodo_moonrise,Aimadamodo_moonset,Aimadamodo_sunrise,Aimadamodo_sunset,Aimadamodo_DewPointC,Aimadamodo_FeelsLikeC,Aimadamodo_HeatIndexC,Aimadamodo_WindChillC,Aimadamodo_WindGustKmph,Aimadamodo_cloudcover,Aimadamodo_humidity,Aimadamodo_precipMM,Aimadamodo_pressure,Aimadamodo_tempC,Aimadamodo_visibility,Aimadamodo_winddirDegree,Aimadamodo_windspeedKmph
2020-04-04 12:00:00,29,28,0.0,11.6,7,7,79,02:55 PM,01:55 AM,05:57 AM,05:55 PM,22,33,33,29,4,16,66,0.0,1010,29,10,335,3
2020-04-04 15:00:00,29,28,0.0,11.6,7,7,79,02:55 PM,01:55 AM,05:57 AM,05:55 PM,23,33,33,29,5,46,67,0.0,1009,29,10,291,4
2020-04-04 18:00:00,29,28,0.0,11.6,7,1,79,02:55 PM,01:55 AM,05:57 AM,05:55 PM,23,33,33,29,7,38,67,0.0,1010,29,10,198,5
2020-04-04 21:00:00,29,28,0.0,11.6,7,1,79,02:55 PM,01:55 AM,05:57 AM,05:55 PM,22,32,32,29,10,8,69,0.0,1011,29,10,150,7
2020-04-05 00:00:00,30,28,0.0,11.6,7,1,87,03:47 PM,02:55 AM,05:57 AM,05:54 PM,22,31,31,28,8,8,68,0.0,1011,28,10,155,5
2020-04-05 03:00:00,30,28,0.0,11.6,7,1,87,03:47 PM,02:55 AM,05:57 AM,05:54 PM,22,31,31,28,6,6,67,0.0,1010,28,10,180,4
2020-04-05 06:00:00,30,28,0.0,11.6,7,7,87,03:47 PM,02:55 AM,05:57 AM,05:54 PM,22,31,31,28,4,6,66,0.0,1010,28,10,229,3
2020-04-05 09:00:00,30,28,0.0,11.6,7,7,87,03:47 PM,02:55 AM,05:57 AM,05:54 PM,22,32,32,29,6,4,66,0.0,1011,29,10,329,4
2020-04-05 12:00:00,30,28,0.0,11.6,7,7,87,03:47 PM,02:55 AM,05:57 AM,05:54 PM,22,32,32,29,9,7,65,0.0,1010,29,10,317,7
2020-04-05 15:00:00,30,28,0.0,11.6,7,7,87,03:47 PM,02:55 AM,05:57 AM,05:54 PM,23,33,33,29,12,9,66,0.0,1008,29,10,253,9
2020-04-05 18:00:00,30,28,0.0,11.6,7,1,87,03:47 PM,02:55 AM,05:57 AM,05:54 PM,23,34,34,30,18,14,68,0.0,1009,30,10,177,13
2020-04-05 21:00:00,30,28,0.0,11.6,7,1,87,03:47 PM,02:55 AM,05:57 AM,05:54 PM,23,33,33,29,17,15,70,0.0,1011,29,10,157,12
2020-04-06 00:00:00,31,29,0.0,11.6,8,1,94,04:37 PM,03:55 AM,05:57 AM,05:54 PM,23,33,33,29,12,23,72,0.0,1010,29,10,136,8
2020-04-06 03:00:00,31,29,0.0,11.6,8,1,94,04:37 PM,03:55 AM,05:57 AM,05:54 PM,23,32,32,29,5,39,71,0.1,1009,29,10,76,4
2020-04-06 06:00:00,31,29,0.0,11.6,8,7,94,04:37 PM,03:55 AM,05:57 AM,05:54 PM,23,33,33,29,2,57,71,0.1,1010,29,9,82,2
2020-04-06 09:00:00,31,29,0.0,11.6,8,7,94,04:37 PM,03:55 AM,05:57 AM,05:54 PM,23,34,34,29,5,19,69,0.0,1011,29,10,232,4
2020-04-06 12:00:00,31,29,0.0,11.6,8,8,94,04:37 PM,03:55 AM,05:57 AM,05:54 PM,23,35,35,30,7,25,66,0.0,1009,30,10,210,5
2020-04-06 15:00:00,31,29,0.0,11.6,8,7,94,04:37 PM,03:55 AM,05:57 AM,05:54 PM,23,35,35,30,9,48,66,0.1,1008,30,10,189,7
2020-04-06 18:00:00,31,29,0.0,11.6,8,1,94,04:37 PM,03:55 AM,05:57 AM,05:54 PM,24,35,35,30,14,47,68,0.1,1008,30,10,152,10
2020-04-06 21:00:00,31,29,0.0,11.6,8,1,94,04:37 PM,03:55 AM,05:57 AM,05:54 PM,24,34,34,30,13,21,71,0.0,1010,30,10,142,9
2020-04-07 00:00:00,31,29,0.0,8.8,8,1,100,05:27 PM,04:54 AM,05:57 AM,05:53 PM,23,33,33,29,11,19,71,0.0,1009,29,10,138,8
2020-04-07 03:00:00,31,29,0.0,8.8,8,1,100,05:27 PM,04:54 AM,05:57 AM,05:53 PM,23,33,33,29,11,27,71,0.0,1008,29,10,132,7
2020-04-07 06:00:00,31,29,0.0,8.8,8,7,100,05:27 PM,04:54 AM,05:57 AM,05:53 PM,23,33,33,29,13,25,71,0.0,1009,29,10,127,9
2020-04-07 09:00:00,31,29,0.0,8.8,8,6,100,05:27 PM,04:54 AM,05:57 AM,05:53 PM,23,34,34,30,14,44,69,0.1,1010,30,10,132,10
2020-04-07 12:00:00,31,29,0.0,8.8,8,7,100,05:27 PM,04:54 AM,05:57 AM,05:53 PM,24,35,35,30,17,64,68,0.4,1010,30,10,153,13
2020-04-07 15:00:00,31,29,0.0,8.8,8,8,100,05:27 PM,04:54 AM,05:57 AM,05:53 PM,24,35,35,30,21,63,68,0.5,1008,30,9,157,15
2020-04-07 18:00:00,31,29,0.0,8.8,8,1,100,05:27 PM,04:54 AM,05:57 AM,05:53 PM,24,35,35,30,23,51,71,0.0,1008,30,10,150,17
2020-04-07 21:00:00,31,29,0.0,8.8,8,1,100,05:27 PM,04:54 AM,05:57 AM,05:53 PM,24,34,34,29,22,55,73,0.1,1009,29,10,130,15
2020-04-08 00:00:00,30,28,0.0,8.8,7,1,100,06:15 PM,05:53 AM,05:57 AM,05:53 PM,24,34,34,29,21,18,74,0.0,1009,29,10,117,14
